# Logfile created on 2026-07-11 03:25:42 +0200 by logger.rb/v1.5.3
2026-07-11 03:25:43 +0200: Memory Usage (549484K) : graphmet1l_filler has 0 polygons
2026-07-11 03:25:43 +0200: Memory Usage (549484K) : graphmet1l_nofill has 0 polygons
2026-07-11 03:25:43 +0200: Memory Usage (549484K) : graphmet1l_slit has 0 polygons
2026-07-11 03:25:43 +0200: Memory Usage (549484K) : graphmet1l_opc has 0 polygons
2026-07-11 03:25:43 +0200: Memory Usage (549484K) : extblock_drw has 145 polygons
2026-07-11 03:25:43 +0200: Memory Usage (549484K) : nldd_drw has 0 polygons
2026-07-11 03:25:43 +0200: Memory Usage (549484K) : pldd_drw has 0 polygons
2026-07-11 03:25:43 +0200: Memory Usage (549484K) : next_drw has 0 polygons
2026-07-11 03:25:43 +0200: Memory Usage (549484K) : pext_drw has 0 polygons
2026-07-11 03:25:43 +0200: Memory Usage (549484K) : nexthv_drw has 0 polygons
2026-07-11 03:25:43 +0200: Memory Usage (549484K) : pexthv_drw has 0 polygons
2026-07-11 03:25:43 +0200: Memory Usage (549484K) : graphgate_drw has 0 polygons
2026-07-11 03:25:43 +0200: Memory Usage (549484K) : sinwg_drw has 0 polygons
2026-07-11 03:25:43 +0200: Memory Usage (549484K) : sinwg_filler has 0 polygons
2026-07-11 03:25:43 +0200: Memory Usage (549484K) : sinwg_nofill has 0 polygons
2026-07-11 03:25:43 +0200: Memory Usage (549484K) : mempad_drw has 0 polygons
2026-07-11 03:25:43 +0200: Memory Usage (549484K) : topvia1_drw has 56700 polygons
2026-07-11 03:25:43 +0200: Memory Usage (549484K) : topmetal1_drw has 201 polygons
2026-07-11 03:25:43 +0200: Memory Usage (549484K) : topmetal1_pin has 168 polygons
2026-07-11 03:25:43 +0200: Memory Usage (549484K) : topmetal1_mask has 0 polygons
2026-07-11 03:25:43 +0200: Memory Usage (549484K) : topmetal1_filler has 0 polygons
2026-07-11 03:25:43 +0200: Memory Usage (549484K) : topmetal1_nofill has 0 polygons
2026-07-11 03:25:43 +0200: Memory Usage (549484K) : topmetal1_slit has 0 polygons
2026-07-11 03:25:43 +0200: Memory Usage (549484K) : topmetal1_text has 168 polygons
2026-07-11 03:25:43 +0200: Memory Usage (549484K) : topmetal1_noqrc has 0 polygons
2026-07-11 03:25:43 +0200: Memory Usage (549484K) : topmetal1_res has 0 polygons
2026-07-11 03:25:43 +0200: Memory Usage (549484K) : topmetal1_iprobe has 0 polygons
2026-07-11 03:25:43 +0200: Memory Usage (549484K) : topmetal1_diffprb has 0 polygons
2026-07-11 03:25:43 +0200: Memory Usage (549484K) : inldpwl_drw has 0 polygons
2026-07-11 03:25:43 +0200: Memory Usage (549484K) : polyres_drw has 36 polygons
2026-07-11 03:25:43 +0200: Memory Usage (549484K) : polyres_pin has 0 polygons
2026-07-11 03:25:43 +0200: Memory Usage (549484K) : vmim_drw has 0 polygons
2026-07-11 03:25:43 +0200: Memory Usage (549484K) : nbulaycut_drw has 0 polygons
2026-07-11 03:25:43 +0200: Memory Usage (549484K) : antmetal1_drw has 0 polygons
2026-07-11 03:25:43 +0200: Memory Usage (549484K) : topvia2_drw has 0 polygons
2026-07-11 03:25:43 +0200: Memory Usage (549484K) : topmetal2_drw has 0 polygons
2026-07-11 03:25:43 +0200: Memory Usage (549484K) : topmetal2_pin has 0 polygons
2026-07-11 03:25:43 +0200: Memory Usage (549484K) : topmetal2_mask has 0 polygons
2026-07-11 03:25:43 +0200: Memory Usage (549484K) : topmetal2_filler has 0 polygons
2026-07-11 03:25:43 +0200: Memory Usage (549484K) : topmetal2_nofill has 0 polygons
2026-07-11 03:25:43 +0200: Memory Usage (549484K) : topmetal2_slit has 0 polygons
2026-07-11 03:25:43 +0200: Memory Usage (549484K) : topmetal2_text has 0 polygons
2026-07-11 03:25:43 +0200: Memory Usage (549484K) : topmetal2_noqrc has 0 polygons
2026-07-11 03:25:43 +0200: Memory Usage (549484K) : topmetal2_res has 0 polygons
2026-07-11 03:25:43 +0200: Memory Usage (549484K) : topmetal2_iprobe has 0 polygons
2026-07-11 03:25:43 +0200: Memory Usage (549484K) : topmetal2_diffprb has 0 polygons
2026-07-11 03:25:43 +0200: Memory Usage (549484K) : snsring_drw has 0 polygons
2026-07-11 03:25:43 +0200: Memory Usage (549484K) : sensor_drw has 0 polygons
2026-07-11 03:25:43 +0200: Memory Usage (549484K) : snsarms_drw has 0 polygons
2026-07-11 03:25:43 +0200: Memory Usage (549484K) : snscmosvia_drw has 0 polygons
2026-07-11 03:25:43 +0200: Memory Usage (549484K) : colwind_drw has 0 polygons
2026-07-11 03:25:43 +0200: Memory Usage (549484K) : flm_drw has 0 polygons
2026-07-11 03:25:43 +0200: Memory Usage (549484K) : hafniumox_drw has 0 polygons
2026-07-11 03:25:43 +0200: Memory Usage (549484K) : memvia_drw has 0 polygons
2026-07-11 03:25:43 +0200: Memory Usage (549484K) : thinfilmres_drw has 0 polygons
2026-07-11 03:25:43 +0200: Memory Usage (549484K) : rfmem_drw has 0 polygons
2026-07-11 03:25:43 +0200: Memory Usage (549484K) : norcx_drw has 0 polygons
2026-07-11 03:25:43 +0200: Memory Usage (549484K) : norcx_m2m3 has 0 polygons
2026-07-11 03:25:43 +0200: Memory Usage (549484K) : norcx_m2m4 has 0 polygons
2026-07-11 03:25:43 +0200: Memory Usage (549484K) : norcx_m2m5 has 0 polygons
2026-07-11 03:25:43 +0200: Memory Usage (549484K) : norcx_m2tm1 has 0 polygons
2026-07-11 03:25:43 +0200: Memory Usage (549484K) : norcx_m2tm2 has 0 polygons
2026-07-11 03:25:43 +0200: Memory Usage (549484K) : norcx_m3m4 has 0 polygons
2026-07-11 03:25:43 +0200: Memory Usage (549484K) : norcx_m3m5 has 0 polygons
2026-07-11 03:25:43 +0200: Memory Usage (549484K) : norcx_m3tm1 has 0 polygons
2026-07-11 03:25:43 +0200: Memory Usage (549484K) : norcx_m3tm2 has 0 polygons
2026-07-11 03:25:43 +0200: Memory Usage (549484K) : norcx_m4m5 has 0 polygons
2026-07-11 03:25:43 +0200: Memory Usage (549484K) : norcx_m4tm1 has 0 polygons
2026-07-11 03:25:43 +0200: Memory Usage (549484K) : norcx_m4tm2 has 0 polygons
2026-07-11 03:25:43 +0200: Memory Usage (549484K) : norcx_m5tm1 has 0 polygons
2026-07-11 03:25:43 +0200: Memory Usage (549484K) : norcx_m5tm2 has 0 polygons
2026-07-11 03:25:43 +0200: Memory Usage (549484K) : norcx_tm1tm2 has 0 polygons
2026-07-11 03:25:43 +0200: Memory Usage (549484K) : norcx_m1sub has 0 polygons
2026-07-11 03:25:43 +0200: Memory Usage (549484K) : norcx_m2sub has 0 polygons
2026-07-11 03:25:43 +0200: Memory Usage (549484K) : norcx_m3sub has 0 polygons
2026-07-11 03:25:43 +0200: Memory Usage (549484K) : norcx_m4sub has 0 polygons
2026-07-11 03:25:43 +0200: Memory Usage (549484K) : norcx_m5sub has 0 polygons
2026-07-11 03:25:43 +0200: Memory Usage (549484K) : norcx_tm1sub has 0 polygons
2026-07-11 03:25:43 +0200: Memory Usage (549484K) : norcx_tm2sub has 0 polygons
2026-07-11 03:25:43 +0200: Memory Usage (549484K) : snsbotvia_drw has 0 polygons
2026-07-11 03:25:43 +0200: Memory Usage (549484K) : snstopvia_drw has 0 polygons
2026-07-11 03:25:43 +0200: Memory Usage (549484K) : deepvia_drw has 0 polygons
2026-07-11 03:25:43 +0200: Memory Usage (549484K) : fgetch_drw has 0 polygons
2026-07-11 03:25:43 +0200: Memory Usage (549484K) : ctrgat_drw has 0 polygons
2026-07-11 03:25:43 +0200: Memory Usage (549484K) : fgimp_drw has 0 polygons
2026-07-11 03:25:43 +0200: Memory Usage (549484K) : emwihv_drw has 0 polygons
